Time (s),Load (N),Tensile strain (Extension) (mm/mm),Tensile extension (mm),Tensile stress (MPa),Sample,Mix
5.8,447.48477,0.06515,0.97731,42.39793,3,2
5.9,449.29251,0.06626,0.99394,42.56921,3,2
6,451.12869,0.06738,1.01069,42.74319,3,2
6.1,452.42886,0.0685,1.02744,42.86637,3,2
6.2,453.24335,0.0696,1.04406,42.94354,3,2
6.3,453.853,0.0707,1.0605,43.0013,3,2
6.4,454.45691,0.07183,1.0775,43.05853,3,2
6.5,454.25977,0.07293,1.094,43.03984,3,2
6.6,453.5838,0.07403,1.1105,42.9758,3,2
6.7,452.95508,0.07516,1.12737,42.91623,3,2
6.8,452.06537,0.07627,1.144,42.83193,3,2
6.9,450.76349,0.07737,1.16062,42.70858,3,2
7,448.7262,0.07848,1.17719,42.51556,3,2
7.1,447.17249,0.07959,1.19387,42.36835,3,2
7.2,445.1824,0.08072,1.21081,42.17979,3,2
7.3,442.67773,0.08182,1.22737,41.94248,3,2
7.4,440.02979,0.08292,1.24387,41.69159,3,2
7.5,437.50363,0.08405,1.26081,41.45225,3,2
7.6,434.5567,0.08516,1.27737,41.17303,3,2
7.7,431.76096,0.08627,1.294,40.90815,3,2
7.8,428.85779,0.08737,1.31056,40.63308,3,2
7.9,426.04129,0.08849,1.32737,40.36622,3,2
8,422.87506,0.08961,1.34412,40.06623,3,2
8.1,420.07413,0.0907,1.36056,39.80085,3,2
8.2,417.03204,0.09182,1.37731,39.51262,3,2
8.3,414.32321,0.09294,1.39412,39.25597,3,2
8.4,411.5141,0.09404,1.41062,38.98981,3,2
8.5,408.92862,0.09515,1.42725,38.74485,3,2
8.6,406.3989,0.09627,1.44406,38.50516,3,2
8.7,404.10226,0.09738,1.46069,38.28756,3,2
8.8,401.75696,0.09849,1.47737,38.06535,3,2
8.9,399.58615,0.0996,1.494,37.85967,3,2
9,397.47968,0.10072,1.51075,37.66009,3,2
9.1,395.41925,0.10183,1.52744,37.46487,3,2
9.2,393.46878,0.10292,1.54387,37.28007,3,2
9.3,391.4646,0.10404,1.56056,37.09018,3,2
9.4,389.72052,0.10517,1.5775,36.92493,3,2
9.5,387.63202,0.10626,1.59394,36.72705,3,2
9.6,385.25262,0.10737,1.61056,36.50161,3,2
9.7,382.3306,0.10849,1.62737,36.22476,3,2
9.794,268.89777,0.10954,1.64312,25.47731,3,2
0,13.20918,0,0,1.30307,2,2
0.1,18.46273,0.0009,0.0135,1.82132,2,2
0.2,32.89581,0.0022,0.03294,3.24512,2,2
0.3,43.61704,0.00332,0.04981,4.30276,2,2
0.4,54.50146,0.00445,0.06669,5.37649,2,2
